Energy	Efficiency(GR)	alpha(norm)	alpha	beta	Cff
1952	0.4327768973	87.27421567	2.72578	5.24068719490252	1.92068229126587
1956	0.4337807504	87.28575542	2.71424	5.23077132322942	1.92520281678976
1960	0.4348955009	87.29326203	2.70674	5.22297286661301	1.92766308819518
1964	0.4359431143	87.30073047	2.69927	5.21520505555088	1.93012689329961
1968	0.4369629256	87.30816225	2.69184	5.20747297463012	1.93258888691182
1972	0.437962871	87.31556195	2.68444	5.19977134668178	1.93505418872902
1976	0.4389174914	87.32293027	2.67707	5.1921000823993	1.93752271021902
1980	0.4398341762	87.33026687	2.66973	5.18445909271616	1.93999436174058
1984	0.4407437294	87.33757076	2.66243	5.17685343689918	1.94246368835283
1988	0.441707507	87.34884392	2.65116	5.16722238261226	1.9470958399254
1992	0.4427947856	87.35608586	2.64391000000001	5.15967429386166	1.94958694410842
1996	0.4437988467	87.36328919	2.63670999999999	5.15216636758869	1.95206991987096
2000	0.4447441486	87.37045891	2.62954000000001	5.14468824419599	1.95455548934364
2004	0.4456903948	87.37759844	2.6224	5.13723983600254	1.95704355532571
2008	0.4466023274	87.38470798	2.61529	5.1298210555642	1.95953401946919
2012	0.4474915005	87.39178769	2.60821	5.12243181567224	1.96202678227401
2016	0.4483426694	87.39883602	2.60115999999999	5.11507202935373	1.96452174308398
2020	0.4492463963	87.40985458	2.59014999999999	5.10571431714757	1.96926697564054
2024	0.4502435527	87.41684368	2.58316000000001	5.09841575450075	1.97177696436513
2028	0.4512027523	87.42379637	2.5762	5.09114638132861	1.97428887622666
2032	0.452123836	87.43071605	2.56928000000001	5.08391117017884	1.97679687857807
2036	0.4530068096	87.43760601	2.56238999999999	5.07670496362703	1.97930653618638
2040	0.4538376967	87.44446749	2.55553	5.06952767604307	1.98181774079886
2044	0.4546527114	87.4513	2.5487	5.06237922203078	1.98433038297522
2048	0.4554628967	87.45810432	2.5419	5.05525951642792	1.98684435208453
2052	0.4563409258	87.46888009	2.53112	5.04615394243491	1.99171610403242
2056	0.4573572081	87.47562796	2.52437	5.03908901377235	1.99424960220818
2060	0.4583413581	87.48234309	2.51766000000001	5.032057594777	1.99677823265283
2064	0.4592566469	87.48902488	2.51098	5.02505458033316	1.99930776680493
2068	0.4601803871	87.49567791	2.50432000000001	5.01807489094594	2.00184408840046
2072	0.4610785653	87.50230385	2.49769999999999	5.01112843986643	2.0043751062766
2076	0.4619821894	87.50890252	2.4911	5.00420515895954	2.0069127312489
2080	0.4628438891	87.51547334	2.48453000000001	4.99730996019081	2.00945084213495
2084	0.4637983854	87.52601595	2.47398	4.98845092315126	2.01444614549323
2088	0.4648400762	87.53253096	2.46747000000001	4.98161415360565	2.01699648624426
2092	0.4658490773	87.53901674	2.46098000000001	4.97480025948305	2.01955316934847
2096	0.4667812789	87.5454711	2.45453000000001	4.96801906762349	2.02210370595017
2100	0.4676665096	87.55189843	2.4481	4.96126059869315	2.02466039073176
2104	0.4685451554	87.55829917	2.4417	4.95452972210943	2.02721689950583
2108	0.469347421	87.56467422	2.43532999999999	4.94782635592617	2.02977310298733
2112	0.470139283	87.57102232	2.42898	4.9411454979765	2.03233521383596
2116	0.4710997574	87.58134278	2.41866	4.93252752970455	2.03745069602055
2120	0.4720950502	87.58763634	2.41236000000001	4.92589888114664	2.04003001214845
2124	0.4730548842	87.59390416	2.4061	4.91930233094483	2.04260218266353
2128	0.4739482755	87.60014012	2.39986	4.9127280005389	2.04517995483563
2132	0.4747931308	87.60634913	2.39364999999999	4.90618071108804	2.04775676532043
2136	0.475583568	87.61253278	2.38746999999999	4.89966038209143	2.0503324759798
2140	0.4763611905	87.61869109	2.38131	4.89316206215217	2.05291352466854
2144	0.4771987295	87.62882461	2.37118	4.8847458013043	2.05814131396956
2148	0.4781747757	87.63493282	2.36507	4.8782986141358	2.06073846590942
